,wins,losses,fpts,fpts_against
wins,1.0,0.32429831265170417,0.869883012497543,0.8068192659138244
losses,0.32429831265170417,1.0,0.716440722363238,0.8104872824879866
fpts,0.869883012497543,0.716440722363238,1.0,0.9790976550321987
fpts_against,0.8068192659138244,0.8104872824879866,0.9790976550321987,1.0
